Vx	Vy	Vz	Wx	Wy	Wz	fi	psi	teta	Ksi	Eta	Dzeta	T	Tng	Tkg	Tnb	Tkb	Lat	Long
2.000	0.002	-0.000	0.000	0.004	0.002	-0.074	-0.470	-0.273	205.866	-59.849	99.984	929.126	100.000	-100.000	-100.000	100.000	69.220198	16.458910
2.000	0.003	0.001	0.000	0.002	-0.002	-0.074	-0.468	-0.275	207.584	-60.386	100.854	929.126	100.000	-100.000	100.000	-100.000	69.220213	16.458932
2.000	0.004	0.003	-0.000	0.009	-0.001	-0.072	-0.462	-0.277	209.304	-60.928	101.719	929.126	-100.000	100.000	100.000	-100.000	69.220229	16.458954
2.000	0.000	0.004	0.000	0.003	0.008	-0.071	-0.458	-0.271	211.028	-61.467	102.577	929.126	-100.000	100.000	100.000	-100.000	69.220244	16.458976
2.000	-0.005	0.006	0.000	-0.002	0.011	-0.070	-0.454	-0.261	212.759	-61.995	103.430	929.126	100.000	-100.000	100.000	-100.000	69.220260	16.458998
2.000	-0.009	0.004	0.000	-0.004	0.003	-0.071	-0.455	-0.255	214.492	-62.511	104.283	929.126	100.000	-100.000	-100.000	100.000	69.220275	16.459019
2.000	-0.010	0.003	0.000	0.001	0.002	-0.071	-0.458	-0.252	216.226	-63.021	105.139	929.126	-100.000	100.000	100.000	-100.000	69.220291	16.459041
2.000	-0.011	0.001	-0.000	-0.003	-0.003	-0.072	-0.461	-0.250	217.960	-63.527	105.999	929.126	-100.000	100.000	-100.000	100.000	69.220307	16.459063
2.000	-0.008	-0.001	0.000	-0.001	-0.005	-0.073	-0.465	-0.252	219.691	-64.032	106.863	929.126	-100.000	100.000	-100.000	100.000	69.220322	16.459085
2.000	-0.004	-0.000	-0.000	0.000	0.003	-0.073	-0.463	-0.257	221.420	-64.544	107.728	929.126	-100.000	100.000	100.000	-100.000	69.220338	16.459107
2.000	-0.004	0.000	-0.000	0.003	0.003	-0.072	-0.462	-0.257	223.149	-65.057	108.592	929.126	-100.000	100.000	-100.000	100.000	69.220353	16.459128
2.000	-0.004	0.001	-0.000	-0.002	-0.002	-0.072	-0.461	-0.257	224.880	-65.569	109.453	929.126	100.000	-100.000	100.000	-100.000	69.220369	16.459150
2.000	-0.004	0.001	-0.000	-0.001	0.002	-0.072	-0.460	-0.256	226.612	-66.080	110.313	929.126	71.351	-71.351	100.000	-100.000	69.220384	16.459172
2.000	-0.003	0.000	-0.000	0.003	0.003	-0.072	-0.461	-0.256	228.343	-66.590	111.174	929.126	-100.000	100.000	100.000	-100.000	69.220400	16.459194
2.000	-0.004	0.002	0.000	-0.001	0.002	-0.071	-0.459	-0.255	230.076	-67.099	112.034	929.126	100.000	-100.000	100.000	-100.000	69.220416	16.459216
2.000	-0.004	0.000	0.000	-0.000	0.001	-0.072	-0.461	-0.253	231.810	-67.605	112.894	929.126	-100.000	100.000	100.000	-100.000	69.220431	16.459238
2.000	-0.006	-0.002	-0.000	-0.003	0.004	-0.073	-0.465	-0.250	233.541	-68.108	113.758	929.126	-100.000	100.000	-100.000	100.000	69.220447	16.459259
2.000	-0.004	-0.004	0.000	-0.007	-0.003	-0.075	-0.472	-0.252	235.270	-68.609	114.630	929.126	-100.000	100.000	100.000	-100.000	69.220462	16.459282
2.000	-0.003	-0.005	0.000	-0.001	-0.006	-0.076	-0.476	-0.253	236.994	-69.112	115.510	929.126	100.000	-100.000	-100.000	100.000	69.220478	16.459304
2.000	0.002	-0.005	0.000	0.005	-0.005	-0.076	-0.476	-0.262	238.715	-69.623	116.392	929.126	-100.000	100.000	100.000	-100.000	69.220493	16.459326
2.000	0.005	-0.001	-0.000	0.007	-0.003	-0.074	-0.468	-0.267	240.437	-70.143	117.266	929.126	-100.000	100.000	-100.000	100.000	69.220509	16.459348
2.000	0.004	0.002	-0.000	0.006	0.005	-0.072	-0.461	-0.266	242.162	-70.667	118.131	929.126	100.000	-100.000	-100.000	100.000	69.220524	16.459370
2.000	0.001	0.002	-0.000	-0.007	0.010	-0.072	-0.462	-0.260	243.891	-71.186	118.992	929.126	100.000	-100.000	100.000	-100.000	69.220540	16.459392
2.000	-0.003	-0.001	-0.000	-0.004	0.003	-0.073	-0.467	-0.255	245.620	-71.695	119.860	929.126	100.000	-100.000	100.000	-100.000	69.220555	16.459414
2.000	-0.002	-0.002	-0.000	-0.002	-0.001	-0.074	-0.470	-0.255	247.346	-72.202	120.734	929.126	100.000	-100.000	100.000	-100.000	69.220571	16.459436
2.000	-0.001	-0.003	-0.000	-0.002	0.000	-0.075	-0.472	-0.257	249.071	-72.710	121.609	929.126	100.000	-100.000	100.000	-100.000	69.220586	16.459458
2.000	-0.002	-0.001	-0.000	0.002	0.004	-0.074	-0.469	-0.256	250.796	-73.219	122.485	929.126	-100.000	100.000	100.000	-100.000	69.220602	16.459481
2.000	-0.004	-0.001	-0.000	0.000	0.001	-0.074	-0.469	-0.251	252.522	-73.723	123.359	929.126	100.000	-100.000	-100.000	100.000	69.220617	16.459503
2.000	-0.005	-0.000	-0.000	0.005	0.001	-0.073	-0.466	-0.250	254.251	-74.224	124.231	929.126	-100.000	100.000	-100.000	100.000	69.220633	16.459525
2.000	-0.005	0.001	0.000	0.001	0.004	-0.072	-0.464	-0.249	255.982	-74.722	125.100	929.126	73.273	-73.273	100.000	-100.000	69.220649	16.459547
2.000	-0.003	0.002	-0.000	0.003	-0.002	-0.072	-0.461	-0.253	257.714	-75.221	125.966	929.126	-100.000	100.000	100.000	-100.000	69.220664	16.459569
2.000	-0.002	0.003	-0.000	0.003	-0.005	-0.071	-0.458	-0.255	259.448	-75.725	126.827	929.126	100.000	-100.000	-100.000	100.000	69.220680	16.459591
2.000	0.001	0.004	-0.000	0.005	-0.003	-0.070	-0.455	-0.259	261.182	-76.233	127.683	929.126	-100.000	100.000	100.000	-100.000	69.220695	16.459612
2.000	0.002	0.004	-0.000	0.001	-0.002	-0.070	-0.454	-0.261	262.918	-76.744	128.536	929.126	-100.000	100.000	100.000	-100.000	69.220711	16.459634
